y,x,mass,size,ecc,signal,raw_mass,ep,frame,t,True_particle,vial
7.16,29.76,121,60270,0.217,14.48,121,0.0,0,0.0,False,0.0
330.98,333.11,1026,60270,0.428,85.15,1026,0.0,0,0.0,True,3.0
324.1,613.74,126,60270,0.408,11.92,126,0.0,0,0.0,False,0.0
322.21,41.88,891,60270,0.36,91.54,891,0.0,0,0.0,True,1.0
321.21,31.78,106,60270,0.468,12.35,106,0.1,0,0.0,False,0.0
315.99,287.24,149,60270,0.503,13.62,149,0.1,0,0.0,False,0.0
315.01,613.7,105,60270,0.491,9.37,105,0.1,0,0.0,False,0.0
310.98,156.15,183,60270,0.489,16.18,183,0.0,0,0.0,False,0.0
304.99,287.14,129,60270,0.503,12.77,129,0.0,0,0.0,False,0.0
293.02,27.2,128,60270,0.505,12.77,128,0.0,0,0.0,False,0.0
292.07,613.98,121,60270,0.481,11.92,121,0.0,0,0.0,False,0.0
290.94,156.18,131,60270,0.476,12.35,131,0.0,0,0.0,False,0.0
331.47,360.76,851,60270,0.32,80.89,851,0.0,0,0.0,True,3.0
289.99,347.16,1032,60270,0.415,91.54,1032,0.0,0,0.0,True,3.0
278.1,156.16,106,60270,0.502,10.22,106,0.0,0,0.0,False,0.0
271.98,614.04,147,60270,0.496,13.62,147,0.0,0,0.0,False,0.0
269.0,286.63,118,60270,0.49,11.5,118,0.1,0,0.0,False,0.0
266.01,156.12,128,60270,0.472,11.5,128,0.0,0,0.0,False,0.0
257.98,156.13,121,60270,0.507,11.07,121,0.0,0,0.0,False,0.0
256.06,286.62,133,60270,0.49,12.77,133,0.1,0,0.0,False,0.0
254.0,614.15,164,60270,0.472,15.33,164,0.0,0,0.0,False,0.0
252.95,27.61,136,60270,0.449,12.35,136,0.0,0,0.0,False,0.0
248.98,156.05,128,60270,0.497,11.5,128,0.0,0,0.0,False,0.0
240.92,286.58,112,60270,0.456,9.79,112,0.1,0,0.0,False,0.0
229.97,27.84,111,60270,0.494,10.22,111,0.0,0,0.0,False,0.0
288.99,286.9,155,60270,0.53,14.9,155,0.1,0,0.0,False,0.0
227.1,286.4,100,60270,0.429,9.37,100,0.0,0,0.0,False,0.0
333.71,188.97,1055,60270,0.375,92.82,1055,0.0,0,0.0,True,2.0
336.03,156.17,164,60270,0.486,14.9,164,0.0,0,0.0,False,0.0
362.97,553.57,848,60270,0.451,88.98,848,0.0,0,0.0,True,5.0
361.9,287.57,108,60270,0.446,11.5,108,0.1,0,0.0,False,0.0
360.92,45.49,960,60270,0.531,98.78,960,0.0,0,0.0,True,1.0
359.65,438.83,820,60270,0.113,107.72,820,0.0,0,0.0,True,4.0
359.5,308.96,993,60270,0.411,91.54,993,0.0,0,0.0,True,3.0
360.14,299.28,907,60270,0.138,108.57,907,0.0,0,0.0,True,3.0
360.38,94.01,915,60270,0.49,86.0,915,0.0,0,0.0,True,1.0
358.76,542.56,485,60270,0.167,72.8,485,0.0,0,0.0,True,5.0
359.39,77.56,863,60270,0.295,101.76,863,0.0,0,0.0,True,1.0
358.0,613.38,151,60270,0.489,14.05,151,0.0,0,0.0,False,0.0
358.31,590.07,920,60270,0.32,91.96,920,0.0,0,0.0,True,5.0
334.02,613.62,121,60270,0.428,11.92,121,0.1,0,0.0,False,0.0
358.14,569.29,696,60270,0.317,97.07,696,0.0,0,0.0,True,5.0
357.59,63.27,726,60270,0.137,94.94,726,0.0,0,0.0,True,1.0
356.52,201.24,897,60270,0.193,101.33,897,0.0,0,0.0,True,2.0
356.18,181.69,597,60270,0.335,89.83,597,0.0,0,0.0,True,2.0
352.21,210.99,462,60270,0.033,36.19,462,0.0,0,0.0,True,2.0
348.99,304.95,955,60270,0.372,89.41,955,0.0,0,0.0,True,3.0
348.96,156.19,169,60270,0.461,16.18,169,0.0,0,0.0,False,0.0
347.93,439.82,997,60270,0.354,98.78,997,0.0,0,0.0,True,4.0
347.01,26.37,132,60270,0.477,12.35,132,0.0,0,0.0,False,0.0
340.45,180.33,995,60270,0.342,94.52,995,0.0,0,0.0,True,2.0
337.86,459.28,958,60270,0.415,94.52,958,0.0,0,0.0,True,4.0
338.1,418.62,820,60270,0.292,78.77,820,0.0,0,0.0,True,4.0
358.57,474.4,887,60270,0.323,88.98,887,0.0,0,0.0,True,4.0
222.98,156.3,142,60270,0.489,12.77,142,0.0,0,0.0,False,0.0
300.05,156.16,141,60270,0.506,13.2,141,0.1,0,0.0,False,0.0
212.0,156.21,139,60270,0.468,12.77,139,0.0,0,0.0,False,0.0
111.95,285.4,144,60270,0.45,13.62,144,0.0,0,0.0,False,0.0
103.99,614.93,129,60270,0.505,12.35,129,0.1,0,0.0,False,0.0
99.03,156.3,243,60270,0.44,21.71,243,0.0,0,0.0,False,0.0
98.07,412.16,103,60270,0.297,11.5,103,0.1,0,0.0,False,0.0
89.98,156.26,262,60270,0.463,22.99,262,0.0,0,0.0,False,0.0
89.04,284.76,158,60270,0.453,15.33,158,0.0,0,0.0,False,0.0
80.97,29.11,211,60270,0.514,21.29,211,0.0,0,0.0,False,0.0
69.97,29.14,162,60270,0.529,16.6,162,0.0,0,0.0,False,0.0
64.0,284.76,191,60270,0.505,17.88,191,0.0,0,0.0,False,0.0
62.01,156.32,243,60270,0.461,20.01,243,0.0,0,0.0,False,0.0
59.92,29.22,128,60270,0.492,13.2,128,0.0,0,0.0,False,0.0
112.96,28.82,124,60270,0.418,11.07,124,0.0,0,0.0,False,0.0
53.06,156.27,240,60270,0.437,20.86,240,0.0,0,0.0,False,0.0
45.0,411.66,105,60270,0.494,9.79,105,0.1,0,0.0,False,0.0
42.02,284.75,133,60270,0.511,12.35,133,0.1,0,0.0,False,0.0
214.97,614.12,105,60270,0.472,10.64,105,0.0,0,0.0,False,0.0
37.17,29.74,122,60270,0.371,11.5,122,0.0,0,0.0,False,0.0
32.97,487.28,140,60270,0.396,11.92,140,0.1,0,0.0,False,0.0
29.01,156.63,196,60270,0.514,17.88,196,0.0,0,0.0,False,0.0
28.98,29.58,113,60270,0.456,9.79,113,0.0,0,0.0,False,0.0
25.92,614.75,116,60270,0.496,11.07,116,0.1,0,0.0,False,0.0
23.03,284.2,146,60270,0.483,13.2,146,0.0,0,0.0,False,0.0
6.75,487.23,114,60270,0.206,14.05,114,0.1,0,0.0,False,0.0
7.27,156.36,125,60270,0.37,12.77,125,0.0,0,0.0,False,0.0
51.01,284.81,140,60270,0.516,13.62,140,0.1,0,0.0,False,0.0
114.02,156.28,262,60270,0.455,22.57,262,0.0,0,0.0,False,0.0
41.99,156.61,203,60270,0.475,17.46,203,0.0,0,0.0,False,0.0
127.02,285.68,148,60270,0.49,13.62,148,0.0,0,0.0,False,0.0
119.99,487.75,140,60270,0.536,14.05,140,0.1,0,0.0,False,0.0
209.0,286.18,128,60270,0.471,11.07,128,0.0,0,0.0,False,0.0
202.97,488.29,148,60270,0.475,14.05,148,0.1,0,0.0,False,0.0
198.98,156.26,151,60270,0.445,12.35,151,0.0,0,0.0,False,0.0
197.96,28.07,128,60270,0.479,12.35,128,0.0,0,0.0,False,0.0
191.97,488.14,134,60270,0.49,12.35,134,0.1,0,0.0,False,0.0
189.98,614.66,122,60270,0.517,11.92,122,0.1,0,0.0,False,0.0
188.94,412.73,103,60270,0.533,10.64,103,0.0,0,0.0,False,0.0
188.95,28.06,131,60270,0.525,12.35,131,0.0,0,0.0,False,0.0
181.02,156.31,166,60270,0.445,14.05,166,0.0,0,0.0,False,0.0
179.03,412.63,148,60270,0.5,14.05,148,0.0,0,0.0,False,0.0
176.99,28.0,144,60270,0.538,14.48,144,0.0,0,0.0,False,0.0
193.01,286.06,151,60270,0.483,13.2,151,0.0,0,0.0,False,0.0
168.01,614.56,120,60270,0.456,11.07,120,0.1,0,0.0,False,0.0
176.01,285.81,172,60270,0.498,16.6,172,0.0,0,0.0,False,0.0
132.99,614.86,129,60270,0.505,11.92,129,0.1,0,0.0,False,0.0
136.05,28.62,149,60270,0.478,13.62,149,0.0,0,0.0,False,0.0
130.96,156.21,230,60270,0.459,19.16,230,0.0,0,0.0,False,0.0
150.0,156.27,189,60270,0.459,15.75,189,0.0,0,0.0,False,0.0
136.95,285.38,185,60270,0.468,16.18,185,0.0,0,0.0,False,0.0
153.98,412.72,101,60270,0.58,10.64,101,0.0,0,0.0,False,0.0
155.95,285.77,140,60270,0.515,14.05,140,0.1,0,0.0,False,0.0
161.03,28.33,148,60270,0.514,14.48,148,0.0,0,0.0,False,0.0
161.94,156.26,186,60270,0.435,16.18,186,0.0,0,0.0,False,0.0
152.0,614.93,117,60270,0.555,11.5,117,0.1,0,0.0,False,0.0
334.1,462.83,1017,60270,0.377,96.56,1017,0.0,1,0.033,True,4.0
335.54,418.91,743,60270,0.28,86.1,743,0.0,1,0.033,True,4.0
332.99,159.22,163,60270,0.516,15.22,163,0.1,1,0.033,False,0.0
331.97,616.68,136,60270,0.471,11.89,136,0.0,1,0.033,False,0.0
332.35,189.78,1016,60270,0.354,96.09,1016,0.0,1,0.033,True,2.0
331.0,290.13,146,60270,0.509,14.75,146,0.1,1,0.033,False,0.0
332.06,198.71,819,60270,0.267,80.39,819,0.0,1,0.033,True,2.0
321.86,29.97,105,60270,0.297,10.94,105,0.1,1,0.033,False,0.0
328.32,332.2,965,60270,0.37,90.38,965,0.0,1,0.033,True,3.0
325.11,46.84,875,60270,0.357,87.53,875,0.0,1,0.033,True,1.0
322.98,159.33,176,60270,0.495,16.17,176,0.1,1,0.033,False,0.0
317.04,616.71,117,60270,0.439,9.51,117,0.0,1,0.033,False,0.0
305.91,33.96,139,60270,0.542,16.17,139,0.0,1,0.033,False,0.0
341.1,616.72,170,60270,0.436,16.65,170,0.0,1,0.033,False,0.0
299.95,616.86,183,60270,0.473,16.65,183,0.0,1,0.033,False,0.0
330.21,360.89,1013,60270,0.339,90.38,1013,0.0,1,0.033,True,3.0
341.56,181.24,997,60270,0.19,92.28,997,0.0,1,0.033,True,2.0
360.35,95.92,916,60270,0.499,91.81,916,0.0,1,0.033,True,1.0
345.38,304.32,807,60270,0.324,88.0,807,0.0,1,0.033,True,3.0
299.01,289.89,107,60270,0.486,9.51,107,0.1,1,0.033,False,0.0
364.06,491.6,102,60270,0.32,12.84,102,0.0,1,0.033,False,0.0
363.09,616.28,156,60270,0.434,17.12,156,0.0,1,0.033,False,0.0
362.53,553.24,1039,60270,0.317,88.48,1039,0.0,1,0.033,True,5.0
360.93,48.69,1024,60270,0.568,96.09,1024,0.0,1,0.033,True,1.0
360.09,299.73,930,60270,0.091,117.49,930,0.0,1,0.033,True,3.0
359.16,438.78,935,60270,0.144,121.3,935,0.0,1,0.033,True,4.0
343.03,290.28,141,60270,0.546,14.75,141,0.1,1,0.033,False,0.0
358.92,159.11,185,60270,0.436,17.6,185,0.1,1,0.033,False,0.0
358.36,590.23,812,60270,0.294,86.57,812,0.0,1,0.033,True,5.0
358.02,570.15,580,60270,0.278,94.66,580,0.0,1,0.033,True,5.0
358.79,474.48,1005,60270,0.289,91.81,1005,0.0,1,0.033,True,4.0
357.63,63.74,745,60270,0.122,96.56,745,0.0,1,0.033,True,1.0
356.47,542.56,628,60270,0.115,79.91,628,0.0,1,0.033,True,5.0
354.62,201.77,522,60270,0.08,81.34,522,0.0,1,0.033,True,2.0
353.05,616.38,147,60270,0.469,13.79,147,0.0,1,0.033,False,0.0
358.97,77.48,687,60270,0.193,92.28,687,0.0,1,0.033,True,1.0
293.0,159.25,174,60270,0.522,16.17,174,0.1,1,0.033,False,0.0
345.28,438.91,969,60270,0.348,95.61,969,0.0,1,0.033,True,4.0
287.93,616.88,171,60270,0.465,15.7,171,0.0,1,0.033,False,0.0
188.0,159.14,165,60270,0.502,15.22,165,0.1,1,0.033,False,0.0
174.03,617.4,127,60270,0.474,11.42,127,0.0,1,0.033,False,0.0
169.98,159.15,154,60270,0.509,14.27,154,0.0,1,0.033,False,0.0
161.0,617.41,130,60270,0.466,11.42,130,0.0,1,0.033,False,0.0
160.06,288.39,132,60270,0.46,12.84,132,0.1,1,0.033,False,0.0
149.98,288.38,108,60270,0.49,9.99,108,0.1,1,0.033,False,0.0
145.89,617.38,120,60270,0.397,10.47,120,0.0,1,0.033,False,0.0
144.01,490.71,111,60270,0.437,9.04,111,0.1,1,0.033,False,0.0
112.91,617.71,118,60270,0.492,10.94,118,0.0,1,0.033,False,0.0
112.05,287.99,120,60270,0.511,12.37,120,0.1,1,0.033,False,0.0
104.0,617.67,136,60270,0.475,12.37,136,0.0,1,0.033,False,0.0
102.03,287.92,130,60270,0.508,13.32,130,0.0,1,0.033,False,0.0
78.99,159.34,109,60270,0.485,10.47,109,0.1,1,0.033,False,0.0
26.99,617.66,102,60270,0.497,9.04,102,0.0,1,0.033,False,0.0
18.99,159.66,111,60270,0.455,10.47,111,0.0,1,0.033,False,0.0
288.71,346.97,901,60270,0.375,88.0,901,0.0,1,0.033,True,3.0
202.98,159.18,159,60270,0.498,14.27,159,0.0,1,0.033,False,0.0
149.04,159.15,120,60270,0.489,11.42,120,0.0,1,0.033,False,0.0
207.02,289.07,118,60270,0.53,11.42,118,0.1,1,0.033,False,0.0
204.97,30.76,120,60270,0.494,11.42,120,0.1,1,0.033,False,0.0
275.98,289.59,120,60270,0.472,10.47,120,0.1,1,0.033,False,0.0
272.91,617.03,143,60270,0.498,13.32,143,0.1,1,0.033,False,0.0
260.99,159.2,154,60270,0.469,13.79,154,0.0,1,0.033,False,0.0
259.04,617.05,167,60270,0.461,15.7,167,0.0,1,0.033,False,0.0
248.03,159.29,144,60270,0.418,12.37,144,0.0,1,0.033,False,0.0
244.0,617.27,135,60270,0.483,11.89,135,0.0,1,0.033,False,0.0
241.95,491.09,127,60270,0.504,12.37,127,0.1,1,0.033,False,0.0
279.01,159.06,199,60270,0.49,18.55,199,0.1,1,0.033,False,0.0
231.02,491.03,166,60270,0.508,16.17,166,0.0,1,0.033,False,0.0
231.0,158.97,170,60270,0.494,15.7,170,0.0,1,0.033,False,0.0
229.01,34.81,100,60270,0.463,9.51,100,0.0,1,0.033,False,0.0
220.97,617.67,144,60270,0.475,12.84,144,0.0,1,0.033,False,0.0
217.99,159.06,132,60270,0.516,12.37,132,0.1,1,0.033,False,0.0
216.99,491.2,113,60270,0.538,10.94,113,0.1,1,0.033,False,0.0
208.98,617.64,151,60270,0.489,13.79,151,0.0,1,0.033,False,0.0
231.98,617.31,122,60270,0.484,10.94,122,0.0,1,0.033,False,0.0
333.22,418.62,808,60270,0.275,83.5,808,0.0,2,0.067,True,4.0
333.72,189.03,920,60270,0.392,84.74,920,0.0,2,0.067,True,2.0
338.61,181.47,837,60270,0.312,86.4,837,0.0,2,0.067,True,2.0
343.47,303.05,853,60270,0.342,87.64,853,0.0,2,0.067,True,3.0
343.13,437.93,974,60270,0.359,95.08,974,0.0,2,0.067,True,4.0
354.38,201.91,515,60270,0.091,84.74,515,0.0,2,0.067,True,2.0
354.0,542.2,767,60270,0.145,90.53,767,0.0,2,0.067,True,5.0
357.63,63.62,727,60270,0.146,92.6,727,0.0,2,0.067,True,1.0
358.49,437.54,849,60270,0.255,105.41,849,0.0,2,0.067,True,4.0
358.88,473.98,1100,60270,0.307,91.36,1100,0.0,2,0.067,True,4.0
358.3,569.33,677,60270,0.313,89.7,677,0.0,2,0.067,True,5.0
358.02,590.14,910,60270,0.305,97.14,910,0.0,2,0.067,True,5.0
360.23,97.07,921,60270,0.517,90.53,921,0.0,2,0.067,True,1.0
360.09,299.4,803,60270,0.187,102.52,803,0.0,2,0.067,True,3.0
361.11,51.82,971,60270,0.573,86.4,971,0.0,2,0.067,True,1.0
362.43,551.15,1106,60270,0.421,88.88,1106,0.0,2,0.067,True,5.0
358.56,76.73,689,60270,0.112,94.66,689,0.0,2,0.067,True,1.0
330.76,360.77,1006,60270,0.345,83.92,1006,0.0,2,0.067,True,3.0
332.86,198.4,975,60270,0.287,84.33,975,0.0,2,0.067,True,2.0
327.08,331.27,1026,60270,0.379,89.29,1026,0.0,2,0.067,True,3.0
330.1,464.83,1017,60270,0.378,96.32,1017,0.0,2,0.067,True,4.0
50.94,287.34,119,60270,0.526,11.99,119,0.1,2,0.067,False,0.0
65.96,287.74,101,60270,0.468,8.68,101,0.1,2,0.067,False,0.0
78.99,159.35,109,60270,0.485,10.75,109,0.1,2,0.067,False,0.0
102.02,287.92,131,60270,0.511,13.23,131,0.0,2,0.067,False,0.0
104.01,617.61,119,60270,0.481,10.33,119,0.0,2,0.067,False,0.0
112.05,287.99,121,60270,0.506,12.4,121,0.1,2,0.067,False,0.0
142.99,617.7,124,60270,0.455,10.33,124,0.0,2,0.067,False,0.0
149.98,159.16,121,60270,0.503,11.16,121,0.0,2,0.067,False,0.0
19.01,159.66,110,60270,0.471,10.33,110,0.0,2,0.067,False,0.0
161.96,617.58,112,60270,0.455,10.33,112,0.0,2,0.067,False,0.0
169.99,159.15,155,60270,0.516,14.05,155,0.0,2,0.067,False,0.0
174.95,617.41,112,60270,0.459,10.33,112,0.0,2,0.067,False,0.0
188.01,159.11,131,60270,0.491,11.99,131,0.1,2,0.067,False,0.0
202.01,159.23,102,60270,0.484,9.09,102,0.1,2,0.067,False,0.0
286.8,345.69,822,60270,0.406,76.47,822,0.0,2,0.067,True,3.0
324.9,47.29,897,60270,0.355,85.16,897,0.0,2,0.067,True,1.0
160.05,288.38,111,60270,0.469,11.16,111,0.1,2,0.067,False,0.0
330.42,418.19,784,60270,0.31,82.62,784,0.0,3,0.1,True,4.0
329.08,360.37,973,60270,0.303,86.33,973,0.0,3,0.1,True,3.0
326.87,467.01,959,60270,0.33,93.36,959,0.0,3,0.1,True,4.0
326.05,296.21,427,60270,0.256,39.24,427,0.0,3,0.1,True,3.0
325.13,328.93,1015,60270,0.417,88.81,1015,0.0,3,0.1,True,3.0
324.35,48.89,936,60270,0.347,92.12,936,0.0,3,0.1,True,1.0
252.93,27.77,117,60270,0.453,11.98,117,0.0,3,0.1,False,0.0
315.07,48.62,939,60270,0.484,91.29,939,0.0,3,0.1,True,1.0
286.99,613.92,107,60270,0.499,9.91,107,0.1,3,0.1,False,0.0
293.09,286.95,122,60270,0.461,13.22,122,0.1,3,0.1,False,0.0
288.94,156.15,111,60270,0.443,10.74,111,0.0,3,0.1,False,0.0
283.81,343.73,958,60270,0.363,93.36,958,0.0,3,0.1,True,3.0
278.11,156.17,107,60270,0.48,10.74,107,0.0,3,0.1,False,0.0
275.01,613.93,112,60270,0.5,10.74,112,0.1,3,0.1,False,0.0
269.0,286.63,120,60270,0.489,11.57,120,0.1,3,0.1,False,0.0
266.94,156.25,106,60270,0.49,10.33,106,0.1,3,0.1,False,0.0
331.49,198.49,851,60270,0.223,81.38,851,0.0,3,0.1,True,2.0
297.98,27.18,124,60270,0.521,11.98,124,0.0,3,0.1,False,0.0
332.8,189.55,856,60270,0.479,87.16,856,0.0,3,0.1,True,2.0
357.61,63.49,725,60270,0.176,88.4,725,0.0,3,0.1,True,1.0
335.96,181.96,1082,60270,0.412,93.77,1082,0.0,3,0.1,True,2.0
251.96,614.05,120,60270,0.501,11.15,120,0.1,3,0.1,False,0.0
362.05,549.09,1050,60270,0.561,92.53,1050,0.0,3,0.1,True,5.0
361.19,559.8,580,60270,0.168,85.51,580,0.0,3,0.1,True,5.0
361.08,54.71,814,60270,0.555,73.12,814,0.0,3,0.1,True,1.0
359.83,97.06,876,60270,0.476,90.47,876,0.0,3,0.1,True,1.0
359.26,591.06,903,60270,0.368,85.51,903,0.0,3,0.1,True,5.0
358.87,435.72,802,60270,0.418,104.1,802,0.0,3,0.1,True,4.0
359.36,303.86,985,60270,0.426,94.18,985,0.0,3,0.1,True,3.0
363.66,287.14,104,60270,0.371,10.74,104,0.0,3,0.1,False,0.0
358.5,568.05,659,60270,0.265,83.44,659,0.0,3,0.1,True,5.0
358.13,75.98,695,60270,0.137,105.34,695,0.0,3,0.1,True,1.0
357.03,613.55,130,60270,0.414,12.39,130,0.1,3,0.1,False,0.0
353.85,203.46,398,60270,0.465,50.81,398,0.0,3,0.1,True,2.0
350.55,541.93,772,60270,0.255,85.1,772,0.0,3,0.1,True,5.0
350.0,183.82,785,60270,0.318,80.14,785,0.0,3,0.1,True,2.0
340.85,437.01,983,60270,0.365,93.77,983,0.0,3,0.1,True,4.0
341.45,302.04,874,60270,0.337,90.47,874,0.0,3,0.1,True,3.0
340.94,31.64,102,60270,0.376,12.39,102,0.1,3,0.1,False,0.0
358.27,474.53,1019,60270,0.286,98.31,1019,0.0,3,0.1,True,4.0
248.96,156.04,129,60270,0.499,11.57,129,0.0,3,0.1,False,0.0
125.0,28.65,102,60270,0.426,9.09,102,0.0,3,0.1,False,0.0
227.11,286.4,100,60270,0.431,9.5,100,0.0,3,0.1,False,0.0
111.99,156.29,194,60270,0.484,16.94,194,0.0,3,0.1,False,0.0
100.0,412.11,109,60270,0.303,12.39,109,0.1,3,0.1,False,0.0
98.07,285.07,125,60270,0.43,11.98,125,0.0,3,0.1,False,0.0
96.02,29.18,116,60270,0.487,11.15,116,0.0,3,0.1,False,0.0
88.0,156.33,186,60270,0.464,15.28,186,0.0,3,0.1,False,0.0
80.95,29.1,142,60270,0.547,14.87,142,0.0,3,0.1,False,0.0
80.0,284.83,152,60270,0.478,14.46,152,0.0,3,0.1,False,0.0
71.01,284.7,136,60270,0.493,13.22,136,0.1,3,0.1,False,0.0
62.0,487.72,116,60270,0.578,12.39,116,0.1,3,0.1,False,0.0
59.98,284.65,120,60270,0.509,11.57,120,0.1,3,0.1,False,0.0
60.01,29.22,118,60270,0.473,12.39,118,0.0,3,0.1,False,0.0
54.99,156.3,170,60270,0.483,14.87,170,0.0,3,0.1,False,0.0
37.12,29.86,110,60270,0.35,10.33,110,0.0,3,0.1,False,0.0
240.01,286.59,114,60270,0.466,10.33,114,0.1,3,0.1,False,0.0
23.07,284.2,143,60270,0.478,13.22,143,0.0,3,0.1,False,0.0
15.17,156.38,116,60270,0.39,11.15,116,0.0,3,0.1,False,0.0
15.07,29.89,125,60270,0.456,11.98,125,0.0,3,0.1,False,0.0
112.05,285.58,123,60270,0.441,11.57,123,0.0,3,0.1,False,0.0
120.01,487.74,144,60270,0.524,14.46,144,0.1,3,0.1,False,0.0
30.01,156.74,124,60270,0.499,12.39,124,0.0,3,0.1,False,0.0
135.0,156.27,200,60270,0.466,17.35,200,0.0,3,0.1,False,0.0
133.04,285.38,112,60270,0.415,10.74,112,0.0,3,0.1,False,0.0
222.99,156.38,120,60270,0.492,10.74,120,0.0,3,0.1,False,0.0
210.99,156.22,130,60270,0.48,11.98,130,0.0,3,0.1,False,0.0
202.98,488.39,145,60270,0.468,13.63,145,0.0,3,0.1,False,0.0
199.0,156.25,152,60270,0.447,12.81,152,0.0,3,0.1,False,0.0
197.96,28.05,132,60270,0.481,12.81,132,0.0,3,0.1,False,0.0
190.95,286.13,102,60270,0.487,9.09,102,0.1,3,0.1,False,0.0
181.94,285.9,130,60270,0.493,12.81,130,0.0,3,0.1,False,0.0
182.07,28.03,132,60270,0.514,13.22,132,0.0,3,0.1,False,0.0
216.98,286.13,124,60270,0.437,11.15,124,0.0,3,0.1,False,0.0
177.82,412.71,110,60270,0.435,12.39,110,0.0,3,0.1,False,0.0
171.98,487.92,144,60270,0.489,13.63,144,0.1,3,0.1,False,0.0
167.0,412.74,109,60270,0.532,10.33,109,0.0,3,0.1,False,0.0
167.03,285.82,108,60270,0.458,10.74,108,0.1,3,0.1,False,0.0
161.08,28.37,118,60270,0.443,12.39,118,0.0,3,0.1,False,0.0
156.02,156.26,190,60270,0.46,15.7,190,0.0,3,0.1,False,0.0
153.02,614.87,102,60270,0.532,9.91,102,0.1,3,0.1,False,0.0
181.02,156.32,166,60270,0.447,14.04,166,0.0,3,0.1,False,0.0
135.92,614.86,111,60270,0.48,10.74,111,0.1,3,0.1,False,0.0
340.23,436.86,964,60270,0.344,94.5,964,0.0,4,0.133,True,4.0
340.48,302.21,841,60270,0.339,84.93,841,0.0,4,0.133,True,3.0
335.57,182.38,894,60270,0.33,90.51,894,0.0,4,0.133,True,2.0
332.55,193.17,884,60270,0.441,84.93,884,0.0,4,0.133,True,2.0
333.0,159.21,163,60270,0.515,15.15,163,0.1,4,0.133,False,0.0
331.04,616.68,136,60270,0.459,12.36,136,0.0,4,0.133,False,0.0
326.43,199.02,830,60270,0.312,86.13,830,0.0,4,0.133,True,2.0
328.12,418.35,805,60270,0.308,72.97,805,0.0,4,0.133,True,4.0
327.92,360.28,974,60270,0.331,88.12,974,0.0,4,0.133,True,3.0
324.86,49.07,1006,60270,0.411,87.32,1006,0.0,4,0.133,True,1.0
323.64,327.56,810,60270,0.416,81.34,810,0.0,4,0.133,True,3.0
323.13,469.16,997,60270,0.302,96.09,997,0.0,4,0.133,True,4.0
341.96,616.74,175,60270,0.462,16.35,175,0.0,4,0.133,False,0.0
330.98,290.08,143,60270,0.507,14.35,143,0.1,4,0.133,False,0.0
343.03,290.28,140,60270,0.551,14.75,140,0.1,4,0.133,False,0.0
358.77,567.79,722,60270,0.384,92.5,722,0.0,4,0.133,True,5.0
353.05,616.38,148,60270,0.468,13.96,148,0.0,4,0.133,False,0.0
354.02,205.08,620,60270,0.425,72.57,620,0.0,4,0.133,True,2.0
355.75,181.43,781,60270,0.134,95.69,781,0.0,4,0.133,True,2.0
357.79,75.63,717,60270,0.233,101.68,717,0.0,4,0.133,True,1.0
358.33,474.63,1063,60270,0.288,97.29,1063,0.0,4,0.133,True,4.0
358.92,159.11,185,60270,0.439,17.54,185,0.1,4,0.133,False,0.0
359.32,304.02,973,60270,0.443,95.69,973,0.0,4,0.133,True,3.0
359.29,433.94,828,60270,0.443,93.7,828,0.0,4,0.133,True,4.0
358.75,592.08,653,60270,0.345,83.73,653,0.0,4,0.133,True,5.0
359.86,97.24,864,60270,0.485,90.91,864,0.0,4,0.133,True,1.0
361.07,57.78,772,60270,0.532,68.58,772,0.0,4,0.133,True,1.0
361.93,550.03,1045,60270,0.579,87.32,1045,0.0,4,0.133,True,5.0
364.12,491.58,104,60270,0.303,12.36,104,0.0,4,0.133,False,0.0
322.0,159.37,177,60270,0.485,15.95,177,0.1,4,0.133,False,0.0
347.38,542.67,913,60270,0.219,92.5,913,0.0,4,0.133,True,5.0
317.02,616.71,117,60270,0.439,9.57,117,0.0,4,0.133,False,0.0
363.1,616.28,155,60270,0.438,17.15,155,0.0,4,0.133,False,0.0
312.88,50.09,972,60270,0.493,88.52,972,0.0,4,0.133,True,1.0
19.98,159.65,102,60270,0.49,9.57,102,0.0,4,0.133,False,0.0
317.0,491.31,100,60270,0.518,9.57,100,0.1,4,0.133,False,0.0
78.99,159.34,110,60270,0.484,10.77,110,0.1,4,0.133,False,0.0
142.96,617.7,122,60270,0.449,10.37,122,0.0,4,0.133,False,0.0
149.99,159.16,121,60270,0.502,11.16,121,0.0,4,0.133,False,0.0
149.98,288.39,109,60270,0.484,9.97,109,0.1,4,0.133,False,0.0
160.04,288.4,131,60270,0.46,12.76,131,0.1,4,0.133,False,0.0
164.09,617.6,102,60270,0.467,9.17,102,0.0,4,0.133,False,0.0
169.01,159.15,156,60270,0.504,14.35,156,0.0,4,0.133,False,0.0
188.98,159.15,167,60270,0.503,15.15,167,0.1,4,0.133,False,0.0
192.95,617.6,115,60270,0.459,10.77,115,0.0,4,0.133,False,0.0
202.0,159.2,159,60270,0.501,14.35,159,0.0,4,0.133,False,0.0
207.03,289.07,120,60270,0.529,11.56,120,0.1,4,0.133,False,0.0
217.98,159.06,132,60270,0.513,12.36,132,0.1,4,0.133,False,0.0
229.03,34.81,100,60270,0.461,9.57,100,0.0,4,0.133,False,0.0
174.05,617.4,127,60270,0.476,11.56,127,0.0,4,0.133,False,0.0
